#Date/Time of Update: (none),#DFS Type,#Player ID,#LastName,#FirstName,#Position,#Team ID,#Team Abbr.,#Team City,#Team Name,#Game ID,#Game Date,#Game Time,#Game Away Team Abbr.,#Game Home Team Abbr.,#Salary,#Fantasy Points
,DraftKings,9487,Nogueira,Lucas,C,81,TOR,Toronto,Raptors,33947,10/26/2016,7:30PM,DET,TOR,3000,0
,DraftKings,9105,Rozier,Terry,PG,82,BOS,Boston,Celtics,33946,10/26/2016,7:30PM,BRO,BOS,3200,17.25
,DraftKings,9178,Anderson,Justin,SF,108,DAL,Dallas,Mavericks,33945,10/26/2016,7:00PM,DAL,IND,3700,18.75
,DraftKings,9194,Mudiay,Emmanuel,PG,99,DEN,Denver,Nuggets,33950,10/26/2016,8:00PM,DEN,NOP,6200,23.25
,DraftKings,9196,Jokic,Nikola,C,99,DEN,Denver,Nuggets,33950,10/26/2016,8:00PM,DEN,NOP,6900,15.25
,DraftKings,9210,Johnson,Stanley,SF,88,DET,Detroit,Pistons,33947,10/26/2016,7:30PM,DET,TOR,4100,7.25
,DraftKings,9238,Dekker,Sam,SF,109,HOU,Houston,Rockets,33953,10/26/2016,10:30PM,HOU,LAL,3000,7.25
,DraftKings,9244,Harrell,Montrezl,PF,109,HOU,Houston,Rockets,33953,10/26/2016,10:30PM,HOU,LAL,3000,0
,DraftKings,9252,Turner,Myles,C,87,IND,Indiana,Pacers,33945,10/26/2016,7:00PM,DAL,IND,6200,64.5
,DraftKings,9290,Huertas,Marcelo,PG,105,LAL,Los Angeles,Lakers,33953,10/26/2016,10:30PM,HOU,LAL,3000,6.5
,DraftKings,9286,Nance Jr.,Larry,PF,105,LAL,Los Angeles,Lakers,33953,10/26/2016,10:30PM,HOU,LAL,3200,18.25
,DraftKings,9285,Russell,D'Angelo,PG,105,LAL,Los Angeles,Lakers,33953,10/26/2016,10:30PM,HOU,LAL,7300,28.25
,DraftKings,9313,Winslow,Justise,SF,92,MIA,Miami,Heat,33944,10/26/2016,7:00PM,MIA,ORL,5000,36
,DraftKings,9333,Vaughn,Rashad,SG,90,MIL,Milwaukee,Bucks,33948,10/26/2016,8:00PM,CHA,MIL,3000,3.25
,DraftKings,9348,Bjelica,Nemanja,PF,100,MIN,Minnesota,Timberwolves,33949,10/26/2016,8:00PM,MIN,MEM,3000,6.25
,DraftKings,9346,Towns,Karl-Anthony,C,100,MIN,Minnesota,Timberwolves,33949,10/26/2016,8:00PM,MIN,MEM,9200,37.5
,DraftKings,9409,Hezonja,Mario,SF,95,ORL,Orlando,Magic,33944,10/26/2016,7:00PM,MIA,ORL,3700,9.75
,DraftKings,9421,Okafor,Jahlil,C,85,PHI,Philadelphia,76ers,33951,10/26/2016,8:00PM,OKL,PHI,5200,12.25
,DraftKings,9422,Holmes,Richaun,PF,85,PHI,Philadelphia,76ers,33951,10/26/2016,8:00PM,OKL,PHI,4200,15.25
,DraftKings,9434,Booker,Devin,SG,104,PHX,Phoenix,Suns,33952,10/26/2016,10:00PM,SAC,PHX,6500,23
,DraftKings,9461,Cauley-Stein,Willie,C,103,SAC,Sacramento,Kings,33952,10/26/2016,10:00PM,SAC,PHX,3800,11
,DraftKings,9500,Powell,Norman,SG,81,TOR,Toronto,Raptors,33947,10/26/2016,7:30PM,DET,TOR,3700,1.25
,DraftKings,10090,Brown,Jaylen,SF,82,BOS,Boston,Celtics,33946,10/26/2016,7:30PM,BRO,BOS,3400,18.5
,DraftKings,10118,Brussino,Nicolas,F,108,DAL,Dallas,Mavericks,33945,10/26/2016,7:00PM,DAL,IND,3000,1.5
,DraftKings,10134,Murray,Jamal,G,99,DEN,Denver,Nuggets,33950,10/26/2016,8:00PM,DEN,NOP,3900,7
,DraftKings,10149,Ingram,Brandon,F,105,LAL,Los Angeles,Lakers,33953,10/26/2016,10:30PM,HOU,LAL,4300,12.75
,DraftKings,11414,Williams,Troy,F,107,MEM,Memphis,Grizzlies,33949,10/26/2016,8:00PM,MIN,MEM,3000,0
,DraftKings,10132,Davis,Deyonta,F,107,MEM,Memphis,Grizzlies,33949,10/26/2016,8:00PM,MIN,MEM,3000,4.5
,DraftKings,10130,Harrison,Andrew,G,107,MEM,Memphis,Grizzlies,33949,10/26/2016,8:00PM,MIN,MEM,3000,14.25
,DraftKings,9663,McGruder,Rodney,SG,92,MIA,Miami,Heat,33944,10/26/2016,7:00PM,MIA,ORL,3000,13.25
,DraftKings,10127,Brogdon,Malcolm,G,90,MIL,Milwaukee,Bucks,33948,10/26/2016,8:00PM,CHA,MIL,3300,23
,DraftKings,10129,Dunn,Kris,G,100,MIN,Minnesota,Timberwolves,33949,10/26/2016,8:00PM,MIN,MEM,3800,16
,DraftKings,10136,Hield,Buddy,G,110,NOP,New Orleans,Pelicans,33950,10/26/2016,8:00PM,DEN,NOP,3800,9.75
,DraftKings,10115,Saric,Dario,F,85,PHI,Philadelphia,76ers,33951,10/26/2016,8:00PM,OKL,PHI,4700,15.75
,DraftKings,10114,Rodriguez,Sergio,G,85,PHI,Philadelphia,76ers,33951,10/26/2016,8:00PM,OKL,PHI,3500,19.5
,DraftKings,10143,Bender,Dragan,F,104,PHX,Phoenix,Suns,33952,10/26/2016,10:00PM,SAC,PHX,3000,15.5
,DraftKings,10145,Ulis,Tyler,G,104,PHX,Phoenix,Suns,33952,10/26/2016,10:00PM,SAC,PHX,3000,8.25
,DraftKings,10144,Chriss,Marquese,F,104,PHX,Phoenix,Suns,33952,10/26/2016,10:00PM,SAC,PHX,3200,15
,DraftKings,10123,Siakam,Pascal,F,81,TOR,Toronto,Raptors,33947,10/26/2016,7:30PM,DET,TOR,3600,17.25
,DraftKings,10122,Poeltl,Jakob,C,81,TOR,Toronto,Raptors,33947,10/26/2016,7:30PM,DET,TOR,3000,4.5
,DraftKings,9314,Dragic,Goran,PG,92,MIA,Miami,Heat,33944,10/26/2016,7:00PM,MIA,ORL,7000,31
,DraftKings,9489,DeRozan,DeMar,SG,81,TOR,Toronto,Raptors,33947,10/26/2016,7:30PM,DET,TOR,7200,45.5
,DraftKings,9428,Bledsoe,Eric,PG,104,PHX,Phoenix,Suns,33952,10/26/2016,10:00PM,SAC,PHX,7900,32
,DraftKings,9490,Lowry,Kyle,PG,81,TOR,Toronto,Raptors,33947,10/26/2016,7:30PM,DET,TOR,7800,29.75
,DraftKings,9457,Cousins,DeMarcus,C,103,SAC,Sacramento,Kings,33952,10/26/2016,10:00PM,SAC,PHX,10600,35
,DraftKings,9101,Thomas,Isaiah,PG,82,BOS,Boston,Celtics,33946,10/26/2016,7:30PM,BRO,BOS,7500,49.5
,DraftKings,9459,Gay,Rudy,SF,103,SAC,Sacramento,Kings,33952,10/26/2016,10:00PM,SAC,PHX,6300,37.25
,DraftKings,9091,Teague,Jeff,PG,87,IND,Indiana,Pacers,33945,10/26/2016,7:00PM,DAL,IND,6000,39
,DraftKings,9307,Deng,Luol,PF,105,LAL,Los Angeles,Lakers,33953,10/26/2016,10:30PM,HOU,LAL,4800,16.75
,DraftKings,9119,Young,Thaddeus,PF,87,IND,Indiana,Pacers,33945,10/26/2016,7:00PM,DAL,IND,5500,24.75
,DraftKings,9082,Horford,Al,C,82,BOS,Boston,Celtics,33946,10/26/2016,7:30PM,BRO,BOS,7000,33.75
,DraftKings,9190,Augustin,D.J.,PG,95,ORL,Orlando,Magic,33944,10/26/2016,7:00PM,MIA,ORL,3000,9.25
,DraftKings,9375,Afflalo,Arron,SG,103,SAC,Sacramento,Kings,33952,10/26/2016,10:00PM,SAC,PHX,3700,14.75
,DraftKings,9436,Knight,Brandon,SG,104,PHX,Phoenix,Suns,33952,10/26/2016,10:00PM,SAC,PHX,6100,14.75
,DraftKings,9261,Lawson,Ty,G,103,SAC,Sacramento,Kings,33952,10/26/2016,10:00PM,SAC,PHX,5500,32.5
,DraftKings,9296,Conley,Mike,PG,107,MEM,Memphis,Grizzlies,33949,10/26/2016,8:00PM,MIN,MEM,6800,34.25
,DraftKings,9133,Batum,Nicolas,SF,93,CHA,Charlotte,Hornets,33948,10/26/2016,8:00PM,CHA,MIL,6400,31
,DraftKings,9294,Randolph,Zach,PF,107,MEM,Memphis,Grizzlies,33949,10/26/2016,8:00PM,MIN,MEM,5700,35.25
,DraftKings,9316,Green,Gerald,SG,82,BOS,Boston,Celtics,33946,10/26/2016,7:30PM,BRO,BOS,3000,18.25
,DraftKings,9184,Williams,Deron,PG,108,DAL,Dallas,Mavericks,33945,10/26/2016,7:00PM,DAL,IND,5400,40.75
,DraftKings,9271,Green,Jeff,SF,95,ORL,Orlando,Magic,33944,10/26/2016,7:00PM,MIA,ORL,3800,11.75
