EM_Rank,Team_Name,Seed,Conference,Record,AdjEM,AdjO,AdjO-rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,OppEM,OppEM-rank,OppO,OppO-rank,OppD,OppD-rank,NonConfEM
1, North Carolina, 1, ACC, 31-7, +30.78, 117.0, 2, 86.2, 8,74.5, 12, -.046, 279, +11.47, 5, 107.7, 4, 96.2,30,30
2, Florida, 1, SEC, 35-5, +30.18, 118.5, 1, 88.4, 15,68.3, 168, +.029, 107, +8.89, 40, 105.4, 40, 96.5,44,44
3, Ohio St., 1, B10, 35-4, +28.64, 116.3, 4, 87.7, 12,67.4, 206, +.056, 47, +10.49, 16, 105.6, 39, 95.1,4,4
4, Georgetown, 2, BE, 30-7, +27.75, 116.9, 3, 89.2, 19,62.3, 327, +.008, 163, +10.82, 9, 106.1, 22, 95.3,6,6
5, Kansas, 1, B12, 33-5, +27.18, 110.7, 29, 83.5, 1,71.1, 72, +.032, 99, +7.56, 61, 104.9, 53, 97.3,69,69
6, UCLA, 2, P10, 30-6, +26.52, 111.0, 25, 84.4, 2,66.1, 262, +.019, 132, +11.86, 4, 107.8, 2, 95.9,20,20
7, Texas A&M, 3, B12, 27-7, +26.33, 114.5, 7, 88.1, 13,65.8, 272, -.046, 280, +6.56, 73, 103.8, 78, 97.2,67,67
8, Wisconsin, 2, B10, 30-6, +24.88, 110.7, 28, 85.9, 6,65.9, 269, +.034, 90, +8.88, 41, 104.9, 52, 96.0,24,24
9, Memphis, 2, CUSA, 33-4, +24.17, 110.8, 26, 86.6, 10,71.2, 70, +.031, 103, +4.14, 91, 102.2, 112, 98.1,82,82
10, Duke, 6, ACC, 22-11, +22.76, 108.2, 49, 85.5, 5,67.6, 198, -.073, 314, +12.69, 3, 107.9, 1, 95.2,5,5
11, Pittsburgh, 3, BE, 29-8, +22.39, 112.8, 14, 90.4, 27,65.3, 287, +.033, 93, +10.30, 19, 106.3, 18, 96.0,25,25
12, Maryland, 4, ACC, 25-9, +21.98, 108.2, 50, 86.3, 9,73.8, 18, -.027, 248, +9.49, 31, 105.7, 37, 96.2,28,28
13, Kentucky, 8, SEC, 22-12, +21.29, 112.1, 20, 90.8, 33,68.8, 145, -.029, 252, +13.90, 1, 107.7, 3, 93.8,1,1
14, Indiana, 7, B10, 21-11, +21.16, 111.1, 24, 89.9, 24,66.7, 230, -.058, 299, +10.31, 18, 104.9, 49, 94.6,3,3
15, Butler, 5, Horz, 29-7, +20.93, 113.1, 10, 92.2, 45,61.0, 330, +.015, 147, +5.04, 85, 103.0, 92, 98.0,81,81
16, Southern Illinois, 4, MVC, 29-7, +20.64, 105.5, 81, 84.9, 3,63.3, 315, +.017, 140, +9.54, 28, 106.3, 19, 96.7,51,51
17, Michigan St., 9, B10, 23-12, +20.53, 107.8, 54, 87.3, 11,63.3, 316, -.036, 265, +10.68, 11, 106.3, 17, 95.7,10,10
18, Oregon, 3, P10, 29-8, +20.32, 114.0, 8, 93.7, 57,67.8, 193, +.032, 97, +7.84, 57, 104.7, 56, 96.9,59,59
20, Louisville, 6, BE, 24-10, +19.89, 109.4, 38, 89.5, 21,67.0, 222, -.045, 276, +8.97, 38, 105.0, 48, 96.1,27,27
21, Villanova, 9, BE, 22-11, +19.72, 108.3, 46, 88.6, 17,68.9, 141, -.036, 266, +11.08, 7, 106.8, 10, 95.7,13,13
