Rank-ID,Team,Seed,Conf,W-L,AdjEM,AdjO,AdjO-Rank,AdjD,AdjD-rank,AdjT,AdjT-rank,Luck,Luck-rank,SOS-AdjEM,SOS-AdjEM-rank,SOS-OppO,SOS-OppO-rank,SOS-OppD,SOS-OppD-rank
1, Virginia, 1, ACC, 31-2, +32.15, 116.5, 21, 84.4, 1,59.1, 351, +.032, 98, +9.99, 25, 110.9, 29, 100.9,26
2, Villanova, 1, BE, 30-4, +31.41, 127.4, 1, 96.0, 22,68.2, 168, -.018, 222, +10.23, 20, 111.3, 19, 101.0,30
3, Duke, 2, ACC, 26-7, +29.13, 122.6, 3, 93.5, 7,70.0, 78, -.029, 260, +10.89, 13, 110.9, 27, 100.0,10
4, Cincinnati, 2, Amer, 30-4, +27.00, 113.1, 54, 86.1, 2,64.6, 322, -.004, 183, +3.19, 89, 107.0, 97, 103.8,91
5, Purdue, 2, B10, 28-6, +26.66, 123.2, 2, 96.6, 29,67.2, 219, +.003, 167, +8.55, 44, 109.3, 54, 100.8,22
6, Michigan St., 3, B10, 29-4, +26.34, 120.0, 9, 93.6, 9,67.1, 222, +.048, 64, +6.49, 64, 109.0, 62, 102.5,67
7, North Carolina, 2, ACC, 25-10, +25.03, 121.9, 4, 96.9, 34,70.9, 50, -.019, 227, +14.05, 1, 112.4, 1, 98.4,1
8, Gonzaga, 4, WCC, 30-4, +24.73, 119.8, 12, 95.1, 17,68.9, 125, -.006, 191, +0.95, 127, 106.6, 107, 105.6,154
9, Kansas, 1, B12, 27-7, +23.23, 120.9, 6, 97.7, 46,68.4, 162, +.060, 50, +11.49, 6, 111.7, 12, 100.2,11
10, Michigan, 3, B10, 28-7, +23.20, 115.9, 29, 92.7, 4,64.3, 333, +.037, 90, +8.79, 41, 111.1, 21, 102.3,63
11, Tennessee, 3, SEC, 25-8, +22.14, 114.8, 40, 92.7, 5,66.1, 271, +.040, 81, +11.62, 4, 112.1, 2, 100.5,15
12, Texas Tech, 3, B12, 24-9, +21.95, 114.0, 46, 92.1, 3,66.5, 248, -.021, 236, +9.26, 37, 110.3, 38, 101.1,33
13, West Virginia, 5, B12, 24-10, +21.77, 119.1, 14, 97.4, 39,69.0, 117, -.009, 197, +10.47, 18, 109.9, 43, 99.5,2
14, Xavier, 1, BE, 28-5, +21.69, 120.7, 7, 99.0, 59,70.4, 61, +.109, 9, +9.62, 31, 110.3, 39, 100.7,18
15, Ohio St., 5, B10, 24-8, +21.11, 116.1, 27, 95.0, 16,66.3, 260, +.027, 107, +8.15, 51, 109.8, 47, 101.6,48
16, Auburn, 4, SEC, 25-7, +20.63, 118.2, 16, 97.5, 44,72.2, 21, -.012, 204, +7.53, 56, 109.1, 61, 101.5,46
17, Houston, 6, Amer, 26-7, +20.54, 115.8, 31, 95.2, 18,68.2, 174, -.009, 200, +3.39, 86, 106.7, 103, 103.3,80
18, Kentucky, 5, SEC, 24-10, +20.39, 116.4, 25, 96.0, 23,68.5, 155, -.001, 177, +11.16, 9, 111.1, 22, 99.9,5
19, Clemson, 5, ACC, 23-9, +20.27, 113.8, 48, 93.5, 8,65.6, 296, +.004, 163, +9.76, 30, 110.9, 28, 101.1,36
20, Wichita St., 4, Amer, 25-7, +20.07, 121.9, 5, 101.8, 107,68.6, 149, -.015, 215, +5.55, 74, 107.9, 78, 102.3,64
21, Arizona, 4, P12, 27-7, +19.36, 119.0, 15, 99.6, 70,67.3, 215, +.025, 116, +6.33, 66, 108.9, 65, 102.5,69
22, TCU, 6, B12, 21-11, +18.91, 120.6, 8, 101.7, 104,68.7, 142, -.058, 311, +9.82, 27, 111.4, 15, 101.6,50
23, Florida, 6, SEC, 20-12, +18.71, 115.1, 37, 96.4, 25,66.7, 239, -.049, 294, +10.74, 14, 110.7, 32, 100.0,7
24, Nevada, 7, MWC, 27-7, +18.17, 119.9, 10, 101.7, 105,69.4, 99, -.028, 259, +4.44, 79, 107.3, 90, 102.8,72
25, Butler, 10, BE, 20-13, +17.86, 115.7, 32, 97.9, 48,67.8, 189, -.037, 272, +10.57, 17, 111.8, 7, 101.3,42
26, Seton Hall, 8, BE, 21-11, +17.33, 116.3, 26, 99.0, 58,69.3, 104, -.020, 234, +9.58, 34, 110.4, 36, 100.8,24
27, Creighton, 8, BE, 21-11, +17.28, 116.4, 22, 99.2, 61,70.8, 53, -.018, 226, +9.23, 38, 111.1, 20, 101.9,55
30, Texas A&M, 7, SEC, 20-12, +16.91, 111.2, 71, 94.3, 12,69.0, 120, -.007, 194, +11.34, 7, 112.1, 3, 100.7,21
32, Virginia Tech, 8, ACC, 21-11, +16.64, 115.0, 39, 98.4, 54,68.6, 144, -.003, 180, +8.18, 49, 109.9, 44, 101.7,52
35, Florida St., 9, ACC, 20-11, +15.82, 115.8, 30, 100.0, 76,71.6, 31, -.032, 265, +7.99, 54, 109.2, 59, 101.2,38
36, Miami FL, 6, ACC, 22-9, +15.71, 113.3, 52, 97.6, 45,67.0, 225, +.034, 95, +8.17, 50, 109.6, 50, 101.4,44
37, Arkansas, 7, SEC, 23-11, +15.63, 117.3, 19, 101.7, 103,69.6, 90, +.062, 41, +10.15, 22, 111.0, 25, 100.8,25
38, Missouri, 8, SEC, 20-12, +15.47, 113.3, 53, 97.8, 47,65.6, 297, -.021, 237, +9.60, 32, 110.1, 42, 100.4,13
39, Texas, 10, B12, 19-14, +15.46, 109.4, 94, 93.9, 10,65.2, 315, -.018, 223, +11.77, 3, 111.7, 11, 99.9,4
41, North Carolina St., 9, ACC, 21-11, +15.13, 116.4, 24, 101.3, 100,71.3, 40, +.007, 156, +7.63, 55, 108.9, 63, 101.3,41
42, Loyola Chicago, 11, MVC, 28-5, +15.09, 111.3, 68, 96.2, 24,65.3, 312, +.058, 53, +0.02, 140, 103.7, 226, 103.7,89
43, Davidson, 12, A10, 21-11, +14.91, 117.4, 18, 102.5, 115,64.1, 335, -.051, 297, +1.89, 107, 105.9, 129, 104.0,96
44, Kansas St., 9, B12, 22-11, +14.75, 112.2, 60, 97.4, 41,65.5, 302, +.056, 56, +9.20, 39, 111.4, 17, 102.2,60
45, Arizona St., 11, P12, 20-11, +14.71, 117.6, 17, 102.9, 124,71.5, 36, -.072, 332, +5.80, 72, 108.1, 75, 102.3,62
47, Oklahoma, 10, B12, 18-13, +14.42, 115.1, 38, 100.7, 83,75.8, 4, +.005, 160, +11.96, 2, 111.8, 8, 99.9,3
48, Rhode Island, 7, A10, 25-7, +14.38, 111.7, 66, 97.3, 38,68.6, 146, +.037, 87, +2.69, 96, 107.4, 86, 104.7,119
49, UCLA, 11, P12, 21-11, +14.38, 116.4, 23, 102.0, 110,70.5, 57, -.019, 228, +6.90, 60, 108.7, 66, 101.8,54
50, San Diego St., 11, MWC, 22-10, +14.14, 111.3, 69, 97.1, 36,68.6, 147, -.015, 217, +3.36, 87, 107.5, 85, 104.2,102
51, Alabama, 9, SEC, 19-15, +13.82, 108.4, 117, 94.6, 13,68.7, 136, +.000, 173, +11.03, 10, 111.0, 24, 100.0,8
54, Syracuse, 11, ACC, 20-13, +13.60, 107.7, 129, 94.1, 11,63.3, 342, +.007, 157, +8.73, 43, 110.9, 26, 102.2,61
55, New Mexico St., 12, WAC, 28-5, +13.56, 108.4, 116, 94.9, 14,68.2, 173, +.032, 97, -1.50, 177, 104.2, 199, 105.7,162
59, Murray St., 12, OVC, 26-5, +12.69, 113.1, 56, 100.4, 82,67.2, 216, -.013, 208, -4.19, 261, 102.8, 275, 107.0,237
63, Providence, 10, BE, 21-13, +11.92, 108.9, 105, 97.0, 35,67.0, 223, +.088, 20, +10.42, 19, 112.0, 5, 101.6,49
69, St. Bonaventure, 11, A10, 25-7, +11.20, 112.3, 59, 101.1, 94,69.2, 109, +.077, 25, +2.20, 99, 107.0, 98, 104.8,121
71, Montana, 14, BSky, 26-7, +10.83, 110.1, 82, 99.3, 66,67.9, 183, -.005, 185, -2.18, 203, 104.3, 197, 106.4,205
75, Buffalo, 13, MAC, 26-8, +10.58, 114.3, 42, 103.7, 136,72.8, 15, -.005, 188, -0.94, 163, 104.8, 171, 105.8,165
77, South Dakota St., 12, Sum, 28-6, +10.48, 114.5, 41, 104.0, 149,70.2, 72, +.111, 7, -0.22, 143, 106.1, 120, 106.3,195
82, UNC Greensboro, 13, SC, 27-7, +9.05, 105.7, 164, 96.6, 30,64.9, 318, -.011, 203, -5.00, 282, 103.6, 232, 108.6,319
96, Georgia St., 15, SB, 24-10, +7.21, 109.0, 102, 101.8, 106,66.8, 236, -.022, 238, -2.78, 227, 103.7, 225, 106.5,210
100, Bucknell, 14, Pat, 25-9, +6.82, 109.2, 99, 102.3, 112,71.4, 37, +.020, 125, -4.84, 279, 102.8, 271, 107.7,272
111, Stephen F. Austin, 14, Slnd, 28-6, +5.62, 105.0, 176, 99.4, 67,71.1, 48, +.037, 85, -7.52, 330, 100.8, 330, 108.3,311
114, Marshall, 13, CUSA, 24-10, +5.39, 109.3, 96, 103.9, 143,74.8, 6, +.040, 80, -1.66, 184, 104.8, 175, 106.4,203
120, College of Charleston, 13, CAA, 26-7, +4.73, 109.9, 87, 105.1, 167,64.6, 324, +.049, 63, -4.61, 270, 104.8, 170, 109.4,339
127, Penn, 16, Ivy, 24-8, +3.70, 103.5, 205, 99.8, 73,68.8, 130, +.078, 23, -4.62, 271, 103.7, 228, 108.3,309
134, Iona, 15, MAAC, 20-13, +2.88, 110.2, 80, 107.4, 212,70.6, 56, -.022, 239, -2.39, 210, 103.3, 255, 105.6,156
135, Wright St., 14, Horz, 25-9, +2.81, 101.1, 248, 98.2, 53,68.2, 175, +.056, 57, -4.78, 276, 102.6, 281, 107.3,257
153, Cal St. Fullerton, 15, BW, 20-11, +1.32, 105.0, 177, 103.7, 134,69.5, 97, +.089, 19, -1.28, 171, 103.8, 218, 105.1,137
165, Lipscomb, 15, ASun, 23-9, +0.38, 103.8, 196, 103.4, 131,74.8, 5, +.114, 6, -4.91, 280, 103.1, 260, 108.0,295
170, Radford, 16, BSth, 22-12, -0.05, 103.6, 204, 103.6, 133,62.7, 346, +.044, 69, -4.43, 268, 102.6, 278, 107.1,243
184, UMBC, 16, AE, 24-10, -1.91, 103.4, 210, 105.3, 170,68.1, 178, +.145, 1, -5.63, 296, 102.5, 285, 108.1,297
249, Texas Southern, 16, SWAC, 15-19, -7.65, 105.3, 173, 112.9, 315,71.5, 35, -.009, 199, -6.73, 314, 101.0, 329, 107.7,273
251, LIU Brooklyn, 16, NEC, 18-16, -7.80, 103.3, 211, 111.1, 294,71.3, 39, +.015, 136, -8.39, 335, 100.6, 335, 109.0,330
309, North Carolina Central, 16, MEAC, 19-15, -12.74, 98.1, 301, 110.9, 288,64.9, 320, +.017, 128, -12.75, 350, 98.7, 349, 111.4,351
