Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD
Larry Fitzgerald,Ari,16,96,1431,14.91,89.4,78t,12,66
Calvin Johnson,Det,16,78,1331,17.06,83.2,96t,12,52
Anquan Boldin,Ari,12,89,1038,11.66,86.5,79t,11,56
Randy Moss,NE,16,69,1008,14.61,63,76t,11,46
Tony Gonzalez,KC,16,96,1058,11.02,66.1,35,10,66
Terrell Owens,Dal,16,69,1052,15.25,65.8,75t,10,38
Lance Moore,NO,16,79,928,11.75,58,70t,10,40
Greg Jennings,GB,16,80,1292,16.15,80.8,63,9,55
Andre Johnson,Hou,16,115,1575,13.7,98.4,65,8,79
Kevin Walter,Hou,16,60,899,14.98,56.2,61,8,39
Antonio Gates,SD,16,60,704,11.73,44,34,8,39
Roddy White,Atl,16,88,1382,15.7,86.4,70t,7,61
Antonio Bryant,TB,16,83,1248,15.04,78,71t,7,60
Vincent Jackson,SD,16,59,1098,18.61,68.6,60,7,52
Hines Ward,Pit,16,81,1043,12.88,65.2,49,7,55
Dwayne Bowe,KC,16,86,1022,11.88,63.9,36,7,49
Bernard Berrian,Min,16,48,964,20.08,60.2,99t,7,34
Laveranues Coles,NYJ,16,70,850,12.14,53.1,54,7,44
Isaac Bruce,SF,16,61,835,13.69,52.2,63,7,43
Visanthe Shiancoe,Min,16,42,596,14.19,37.2,40,7,30
Anthony Fasano,Mia,16,34,454,13.35,28.4,24,7,26
Steve Smith,Car,14,78,1421,18.22,101.5,65t,6,59
Brandon Marshall,Den,15,104,1265,12.16,84.3,47,6,65
Reggie Wayne,Ind,16,82,1145,13.96,71.6,65t,6,63
Santana Moss,Was,16,79,1044,13.22,65.2,67t,6,50
