Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar
Randy Moss,NE,16,83,1264,15.23,79,71t,13,62,137
Larry Fitzgerald,Ari,16,97,1092,11.26,68.2,34t,13,69,153
Vernon Davis,SF,16,78,965,12.37,60.3,73t,13,40,129
Miles Austin,Dal,16,81,1320,16.3,82.5,60t,11,59,124
Roddy White,Atl,16,85,1153,13.56,72.1,90t,11,54,165
Visanthe Shiancoe,Min,16,56,566,10.11,35.4,27,11,38,79
Reggie Wayne,Ind,16,100,1264,12.64,79,65t,10,73,149
Brandon Marshall,Den,15,101,1120,11.09,74.7,75t,10,56,154
Dallas Clark,Ind,16,100,1106,11.06,69.1,80t,10,59,133
Andre Johnson,Hou,16,101,1569,15.53,98.1,72t,9,69,171
Vincent Jackson,SD,15,68,1167,17.16,77.8,55,9,58,108
DeSean Jackson,Phi,15,62,1156,18.65,77.1,71t,9,40,116
Marques Colston,NO,16,70,1074,15.34,67.1,68,9,54,107
Chad Johnson,Cin,16,72,1047,14.54,65.4,50,9,55,128
Robert Meachem,NO,16,45,722,16.04,45.1,54t,9,30,64
Sidney Rice,Min,16,83,1312,15.81,82,63,8,59,121
Antonio Gates,SD,16,79,1157,14.65,72.3,56,8,61,114
Brent Celek,Phi,16,76,971,12.78,60.7,47t,8,42,112
Greg Olsen,Chi,16,60,612,10.2,38.2,41,8,33,108
Steve Smith,NYG,16,107,1220,11.4,76.2,51,7,61,157
Derrick Mason,Bal,16,73,1028,14.08,64.2,72t,7,55,134
Steve Smith,Car,15,65,982,15.11,65.5,66,7,41,128
Mike Sims-Walker,Jax,15,63,869,13.79,57.9,61t,7,43,111
Austin Collie,Ind,16,60,676,11.27,42.2,39t,7,37,89
Lee Evans,Buf,16,44,612,13.91,38.2,50,7,27,95
Roy Williams,Dal,15,38,596,15.68,39.7,66t,7,29,86
John Carlson,Sea,16,51,574,11.25,35.9,42,7,27,83
Hines Ward,Pit,16,95,1167,12.28,72.9,54,6,56,137
Donald Driver,GB,16,70,1061,15.16,66.3,71t,6,49,112
Tony Gonzalez,Atl,16,83,867,10.45,54.2,27,6,54,135
Percy Harvin,Min,15,60,790,13.17,52.7,51t,6,42,91
Hakeem Nicks,NYG,14,47,790,16.81,56.4,68t,6,32,74
Heath Miller,Pit,16,76,789,10.38,49.3,41,6,37,98
Mike Wallace,Pit,16,39,756,19.38,47.2,60t,6,28,72
Todd Heap,Bal,16,53,593,11.19,37.1,31,6,33,75
Nate Washington,Ten,16,47,569,12.11,35.6,35,6,34,95
Fred Davis,Was,16,48,509,10.6,31.8,29,6,31,76
Jacoby Jones,Hou,14,27,437,16.19,31.2,45,6,19,40
Santonio Holmes,Pit,16,79,1248,15.8,78,57,5,63,138
Calvin Johnson,Det,14,67,984,14.69,70.3,75t,5,46,137
Kellen Winslow,TB,16,77,884,11.48,55.2,42t,5,47,126
Terrell Owens,Buf,16,55,829,15.07,51.8,98t,5,33,109
Mario Manningham,NYG,14,57,822,14.42,58.7,49,5,41,99
Chris Chambers,SD,16,45,730,16.22,45.6,61,5,32,92
Jermichael Finley,GB,13,55,676,12.29,52,62t,5,29,72
Patrick Crayton,Dal,16,37,622,16.81,38.9,80t,5,27,67
Donnie Avery,Stl,16,47,589,12.53,36.8,50,5,28,97
Kevin Boss,NYG,15,42,567,13.5,37.8,35,5,26,69
Johnny Knox,Chi,15,45,527,11.71,35.1,68,5,22,80
Owen Daniels,Hou,8,40,519,12.97,64.9,44,5,28,58
Laveranues Coles,Cin,16,43,514,11.95,32.1,40,5,29,77
James Jones,GB,16,32,440,13.75,27.5,74t,5,16,62
Benjamin Watson,NE,16,29,404,13.93,25.2,36,5,20,41
Wes Welker,NE,14,123,1348,10.96,96.3,58,4,71,162
Greg Jennings,GB,16,68,1113,16.37,69.6,83t,4,48,119
Anquan Boldin,Ari,15,84,1024,12.19,68.3,44,4,49,127
Jeremy Maclin,Phi,15,56,773,13.8,51.5,56,4,34,92
Pierre Garcon,Ind,14,47,765,16.28,54.6,66,4,33,92
Braylon Edwards,NYJ,16,45,680,15.11,42.5,65t,4,36,95
Bernard Berrian,Min,16,55,618,11.24,38.6,40,4,35,92
Antonio Bryant,TB,13,39,600,15.38,46.2,42t,4,25,87
Dwayne Bowe,KC,11,47,589,12.53,53.5,41,4,31,87
Louis Murphy,Oak,16,34,521,15.32,32.6,75t,4,26,96
Darren Sproles,SD,16,45,497,11.04,31.1,81t,4,20,57
Steve Slaton,Hou,11,44,417,9.48,37.9,38t,4,20,55
Brandon Stokley,Den,16,19,327,17.21,20.4,87t,4,15,33
Devin Aromashodu,Chi,10,24,298,12.42,29.8,39t,4,16,43
Spencer Havner,GB,16,7,112,16,7,45t,4,6,10
T.J. Houshmandzadeh,Sea,16,79,911,11.53,56.9,53,3,52,135
Santana Moss,Was,16,70,902,12.89,56.4,59t,3,41,120
Jerricho Cotchery,NYJ,14,57,821,14.4,58.6,53,3,44,96
Nate Burleson,Sea,13,63,812,12.89,62.5,44t,3,42,103
Zach Miller,Oak,15,66,805,12.2,53.7,86t,3,31,99
Devin Hester,Chi,13,57,757,13.28,58.2,48,3,34,91
Steve Breaston,Ari,15,55,712,12.95,47.5,45,3,33,82
Kenny Britt,Ten,16,42,701,16.69,43.8,57,3,34,75
Mohamed Massaquoi,Cle,16,34,624,18.35,39,59t,3,24,95
Jason Avant,Phi,16,41,587,14.32,36.7,58,3,26,58
Jeremy Shockey,NO,13,48,569,11.85,43.8,66,3,29,67
Josh Morgan,SF,16,52,527,10.13,32.9,61,3,20,81
Brian Hartline,Mia,16,31,506,16.32,31.6,67,3,26,56
Andre Caldwell,Cin,16,51,432,8.47,27,24,3,29,80
Bryant Johnson,Det,16,35,417,11.91,26.1,36,3,23,87
Frank Gore,SF,14,52,406,7.81,29,48,3,13,75
Justin Gage,Ten,12,28,383,13.68,31.9,49,3,22,67
Joseph Addai,Ind,15,51,336,6.59,22.4,25,3,17,63
Reggie Bush,NO,14,47,335,7.13,23.9,29,3,16,68
Devin Thomas,Was,14,25,325,13,23.2,40,3,16,47
Will Heller,Det,16,29,296,10.21,18.5,24,3,17,50
Daniel Fells,Stl,14,21,273,13,19.5,36t,3,13,35
Carnell Williams,TB,16,28,217,7.75,13.6,22t,3,10,39
Jeff King,Car,16,25,200,8,12.5,32,3,12,33
Mike Tolbert,SD,16,17,192,11.29,12,66t,3,9,22
Kellen Davis,Chi,16,9,75,8.33,4.7,18,3,5,14
Todd Yoder,Was,16,4,9,2.25,0.6,3t,3,3,5
Jason Witten,Dal,16,94,1030,10.96,64.4,69,2,48,124
Devery Henderson,NO,16,51,804,15.76,50.2,75t,2,33,83
Davone Bess,Mia,16,76,758,9.97,47.4,34t,2,48,113
Jabar Gaffney,Den,16,54,732,13.56,45.8,49,2,36,87
Earl Bennett,Chi,16,54,717,13.28,44.8,71,2,32,88
Michael Crabtree,SF,11,48,625,13.02,56.8,50,2,27,86
Kevin Walter,Hou,14,53,611,11.53,43.6,41,2,33,70
Dustin Keller,NYJ,16,45,522,11.6,32.6,40,2,27,82
Marcedes Lewis,Jax,15,32,518,16.19,34.5,47,2,20,59
Chris Johnson,Ten,16,50,503,10.06,31.4,69t,2,18,71
Mark Clayton,Bal,14,34,480,14.12,34.3,54,2,24,74
Deion Branch,Sea,14,45,437,9.71,31.2,35,2,17,79
Kelley Washington,Bal,15,34,431,12.68,28.7,28,2,27,48
Tony Scheffler,Den,15,31,416,13.42,27.7,52,2,19,50
Fred Jackson,Buf,16,46,371,8.07,23.2,21,2,20,60
Bobby Wade,KC,12,36,367,10.19,30.6,25,2,17,74
Chaz Schilens,Oak,8,29,365,12.59,45.6,25,2,17,52
Brandon Pettigrew,Det,11,30,346,11.53,31.5,30,2,20,54
Anthony Fasano,Mia,14,31,339,10.94,24.2,27,2,21,53
Chris Cooley,Was,7,29,332,11.45,47.4,25,2,17,45
Sam Aiken,NE,14,20,326,16.3,23.3,81t,2,12,41
Mark Bradley,KC,13,24,320,13.33,24.6,50,2,11,57
Jordy Nelson,GB,13,22,320,14.55,24.6,51,2,15,31
Chansi Stuckey,NYJ,15,30,318,10.6,21.2,40t,2,21,66
Dante Rosario,Car,14,26,313,12.04,22.4,26,2,19,48
Pierre Thomas,NO,14,39,302,7.74,21.6,36,2,12,45
Ricky Williams,Mia,16,35,264,7.54,16.5,59,2,9,53
John Paul Foschi,Cin,15,27,260,9.63,17.3,27,2,9,37
Legedu Naanee,SD,15,24,242,10.08,16.1,23,2,14,29
Chris Henry,Cin,8,12,236,19.67,29.5,73,2,11,23
Julius Jones,Sea,14,35,232,6.63,16.6,49,2,10,43
Jerome Harrison,Cle,14,34,220,6.47,15.7,18,2,11,50
Knowshon Moreno,Den,16,28,213,7.61,13.3,27,2,10,41
Zach Miller,Jax,14,21,212,10.1,15.1,62,2,10,27
Mike Sellers,Was,15,17,176,10.35,11.7,47,2,8,26
Joey Haynos,Mia,16,19,162,8.53,10.1,21,2,13,37
Lex Hilliard,Mia,16,20,158,7.9,9.9,18,2,5,20
Mewelde Moore,Pit,16,21,153,7.29,9.6,19t,2,9,31
Lance Moore,NO,7,14,153,10.93,21.9,22,2,10,19
Derrick Ward,TB,14,20,150,7.5,10.7,38,2,7,24
Ben Patrick,Ari,9,12,146,12.17,16.2,28,2,6,16
Desmond Clark,Chi,11,19,145,7.63,13.2,26,2,7,34
Chris Baker,NE,16,14,142,10.14,8.9,36t,2,6,19
Leonard Weaver,Phi,16,15,140,9.33,8.8,59,2,6,26
Sean Ryan,KC,10,14,135,9.64,13.5,43,2,7,27
Justin Peelle,Atl,15,12,115,9.58,7.7,32,2,7,15
Jason Hill,SF,11,9,90,10,8.2,30,2,6,17
Willis McGahee,Bal,16,15,85,5.67,5.3,14,2,5,22
Heath Evans,NO,6,10,70,7,11.7,13t,2,5,13
Jason Wright,Ari,16,9,53,5.89,3.3,10,2,2,11
Jeff Dugan,Min,16,6,52,8.67,3.2,25,2,3,6
Eric Weems,Atl,16,6,50,8.33,3.1,30t,2,3,6
John Kuhn,GB,14,7,47,6.71,3.4,14,2,3,7
Malcom Floyd,SD,16,45,776,17.24,48.5,53,1,36,76
Ray Rice,Bal,16,78,702,9,43.9,63,1,28,101
Michael Jenkins,Atl,15,50,635,12.7,42.3,50t,1,29,90
Muhsin Muhammad,Car,14,53,581,10.96,41.5,27,1,32,89
Ted Ginn Jr.,Mia,16,38,454,11.95,28.4,53t,1,25,78
Mike Thomas,Jax,14,48,453,9.44,32.4,28,1,28,62
Bo Scaife,Ten,14,45,440,9.78,31.4,27,1,24,70
Kevin Smith,Det,13,41,415,10.12,31.9,63,1,16,57
Chester Taylor,Min,16,44,389,8.84,24.3,33,1,17,59
Maurice Jones-Drew,Jax,16,53,374,7.06,23.4,19,1,16,71
Maurice Stovall,TB,15,24,366,15.25,24.4,38,1,16,47
Julian Edelman,NE,11,37,359,9.7,32.6,29,1,19,54
Dennis Northcutt,Det,16,35,357,10.2,22.3,47,1,18,63
David Thomas,NO,15,35,356,10.17,23.7,37,1,18,48
Justin Forsett,Sea,16,41,350,8.54,21.9,47,1,12,57
Brandon Gibson,Stl,9,34,348,10.24,38.7,23,1,23,69
Sammie Stroughter,TB,13,31,334,10.77,25.7,35,1,19,58
Randy McMichael,Stl,16,34,332,9.76,20.8,35,1,15,62
Danny Amendola,Stl,14,43,326,7.58,23.3,25,1,20,63
Joel Dreessen,Hou,16,26,320,12.31,20,25t,1,16,39
Kevin Faulk,NE,15,37,301,8.14,20.1,38t,1,13,53
Jamaal Charles,KC,15,40,297,7.42,19.8,49,1,11,56
Josh Reed,Buf,14,27,291,10.78,20.8,29,1,18,45
